ID,Input Pitch,Problem,Solution,Target Market,Clarity Score,Speaking Rate (WPM),Avg Pitch (Hz),Voice Emotion,Intent Label,Sentiment Label
1,I want to launch a business that offers affordable home salon services to mothers.,Unemployment among rural women,Affordable home salon services,Mothers,5,97,200,Friendly,Ask_Feedback,Neutral
2,I want to launch a business that offers ethnic fashion boutique to health-conscious adults.,No creative outlets for kids,Ethnic fashion boutique,Health-conscious adults,5,124,235,Nervous,Share_Idea,Positive
3,I want to launch a business that offers ethnic fashion boutique to mothers.,Lack of healthy snacks,Ethnic fashion boutique,Mothers,3,96,182,Confident,Share_Idea,Positive
4,I want to launch a business that offers ethnic fashion boutique to school kids.,Limited access to tutoring,Ethnic fashion boutique,School kids,2,113,225,Excited,Ask_Feedback,Negative
5,I want to launch a business that offers home-based tutoring to rural women.,Expensive beauty services,Home-based tutoring,Rural women,5,109,225,Nervous,Pitch_Business,Positive
6,I want to launch a business that offers affordable home salon services to rural women.,Lack of healthy snacks,Affordable home salon services,Rural women,5,112,224,Nervous,Pitch_Business,Negative
7,I want to launch a business that offers whatsapp-based mental health support to health-conscious adults.,No budget fitness programs,WhatsApp-based mental health support,Health-conscious adults,5,130,220,Excited,Pitch_Business,Negative
8,I want to launch a business that offers healthy snack delivery to urban women.,No creative outlets for kids,Healthy snack delivery,Urban women,4,109,183,Calm,Share_Idea,Neutral
9,I want to launch a business that offers online career guidance platform to school kids.,No career guidance in small towns,Online career guidance platform,School kids,5,104,220,Confident,Pitch_Business,Positive
10,I want to launch a business that offers ethnic fashion boutique to health-conscious adults.,Lack of healthy snacks,Ethnic fashion boutique,Health-conscious adults,4,118,212,Friendly,Ask_Feedback,Positive
11,I want to launch a business that offers affordable home salon services to health-conscious adults.,Unemployment among rural women,Affordable home salon services,Health-conscious adults,2,119,216,Friendly,Ask_Feedback,Negative
12,I want to launch a business that offers low-cost fitness app for women to rural women.,Unavailability of ethnic clothes,Low-cost fitness app for women,Rural women,3,91,229,Excited,Ask_Feedback,Positive
13,I want to launch a business that offers affordable home salon services to urban women.,Expensive beauty services,Affordable home salon services,Urban women,5,108,180,Excited,Pitch_Business,Positive
14,I want to launch a business that offers affordable home salon services to health-conscious adults.,Unavailability of ethnic clothes,Affordable home salon services,Health-conscious adults,4,99,248,Nervous,Pitch_Business,Neutral
15,I want to launch a business that offers healthy snack delivery to budget shoppers.,Expensive beauty services,Healthy snack delivery,Budget shoppers,2,121,247,Friendly,Pitch_Business,Negative
16,I want to launch a business that offers affordable home salon services to mothers.,No career guidance in small towns,Affordable home salon services,Mothers,2,124,212,Calm,Pitch_Business,Positive
17,I want to launch a business that offers handicraft training and sales to working professionals.,No creative outlets for kids,Handicraft training and sales,Working professionals,3,107,214,Friendly,Share_Idea,Positive
18,I want to launch a business that offers healthy snack delivery to health-conscious adults.,Limited access to tutoring,Healthy snack delivery,Health-conscious adults,5,108,198,Excited,Ask_Feedback,Negative
